day,month,year,precip,tmax,tmin,srad
17,2,1981,10.9,33.67745456,22,19.32148195
18,2,1981,14.3,33.89895762,22,16.69782784
19,2,1981,76.1,37.66328997,22,16.92440246
20,2,1981,7.1,33.94078633,22,13.46593777
21,2,1981,77.2,35.79749646,22,18.3012234
22,2,1981,12,36.47311217,21,17.27147476
23,2,1981,0,33.47554894,21,19.24773616
24,2,1981,20.9,34.36608675,22.5,16.60232275
25,2,1981,3.5,36.33688026,21,15.25191077
26,2,1981,0,37.34916628,21,16.13491821
27,2,1981,35.2,35.30984819,21.5,17.29517692
28,2,1981,0,33.88812744,21.5,18.267116
1,3,1981,80.8,33.82060259,23,13.97189425
2,3,1981,7.7,36.46649259,22,16.65054672
3,3,1981,0,34.79747901,21,15.23435956
4,3,1981,0,36.49020213,21.5,16.33951884
5,3,1981,6.9,34.30175435,22,14.0797645
6,3,1981,31.5,34.35729816,22.5,14.93429859
7,3,1981,0,33.78055652,22.5,16.46727879
8,3,1981,0,33.20115794,23,17.01132444
9,3,1981,0,33.27637856,23.5,19.77802399
10,3,1981,0,31.52177315,23.5,18.04817769
11,3,1981,0,33.56186001,23.5,19.55877987
12,3,1981,0,33.09173862,22,18.95352807
13,3,1981,0,35.2121051,22,20.24311628
14,3,1981,0,35.91989332,23.5,17.58514287
15,3,1981,0,34.36591129,24,19.17336615
16,3,1981,0,32.95036351,24.5,16.41481484
17,3,1981,0,35.09533109,22.5,18.73544452
18,3,1981,0,32.65235281,23,20.81245954
19,3,1981,0,32.86865535,23.5,22.43191446
20,3,1981,0,31.95953367,24.5,19.50096884
21,3,1981,0,32.50772135,24,21.82083197
22,3,1981,0,34.62008704,22.5,19.37556831
23,3,1981,0,33.99187088,20,21.27251686
24,3,1981,0,32.54023743,22.5,20.61599413
25,3,1981,0,29.28720495,24.5,14.64790126
26,3,1981,0,31.9082115,24.5,17.45727631
27,3,1981,0,32.3509251,23.5,18.85487064
28,3,1981,0,31.57939327,24,17.46795022
29,3,1981,0,33.51411012,23,22.41261595
30,3,1981,0,32.93223663,23.5,22.56143297
31,3,1981,0,35.87515782,23.5,18.59639807
1,4,1981,0,29.68975528,23,15.2808006
2,4,1981,0,31.40278882,22.5,21.3004706
3,4,1981,2.5,31.28784569,23.5,18.66584303
4,4,1981,23.4,31.44365181,22,11.27100384
5,4,1981,8.3,32.72144573,20.5,15.08422985
6,4,1981,0,31.97558867,20.5,17.54317082
7,4,1981,1.1,33.71199226,22,17.92252848
8,4,1981,1,33.52257197,21.5,19.86814138
9,4,1981,5.3,29.55395308,23,12.73477563
10,4,1981,0,29.8348342,22,16.61293572
11,4,1981,23.2,28.66186926,23,15.51657925
12,4,1981,13.6,26.68862145,21,11.84508765
13,4,1981,4.3,30.14968382,21,16.52953921
14,4,1981,1,29.22842418,21.5,16.240532
15,4,1981,1.3,30.07129877,22,14.98741483
16,4,1981,5.5,27.76914618,22,13.93510451
17,4,1981,0,24.91045989,21.5,13.79904705
18,4,1981,6.9,30.88051036,20.5,17.00375279
19,4,1981,1.2,31.40033896,22,11.59036057
20,4,1981,2.1,31.62774058,20.5,18.23925147
21,4,1981,87.3,32.29169482,21.5,16.41769424
22,4,1981,2.6,32.09713348,22,13.35349222
23,4,1981,0,31.92964257,20,13.05576929
24,4,1981,20.6,31.6706942,21.5,15.84441872
25,4,1981,20.6,33.33436549,21,18.55432721
26,4,1981,5.4,33.16889043,21.5,11.73048643
27,4,1981,52.2,32.5531825,22,16.03067746
28,4,1981,0,34.32073443,21,14.65457321
29,4,1981,0,35.51456553,20.5,15.65249135
30,4,1981,20.5,33.03113879,22.5,19.12174351
1,5,1981,30.6,31.47985757,21.5,16.20573557
2,5,1981,0,31.65343252,21,18.08442793
3,5,1981,0,30.77353716,23.2,17.29792677
4,5,1981,6.2,29.41229057,22.5,12.49306871
5,5,1981,123.9,27.08521624,21.5,13.8124914
6,5,1981,0,28.67853916,21.5,15.83661615
7,5,1981,0,30.38406889,20.5,17.10178615
8,5,1981,32.8,29.76505416,22,15.31764308
9,5,1981,7.4,28.44068749,22,11.96448318
10,5,1981,13.4,25.62681179,21,11.50402981
11,5,1981,0,28.91593494,21.5,14.51027162
12,5,1981,3,30.68782072,22,17.33651468
13,5,1981,0,31.50533691,22,16.71103977
14,5,1981,0.3,30.81674207,22.5,17.23314939
15,5,1981,27.6,28.83539002,22.5,12.82198465
16,5,1981,0.2,31.29502846,22,14.76690663
17,5,1981,100.7,30.16048706,19,15.70014702
18,5,1981,7.2,29.98385956,21,17.47113415
19,5,1981,0,30.46195907,21,18.42996729
20,5,1981,2.5,31.77902511,20.5,14.27095166
21,5,1981,7.4,29.98928968,22,12.12185791
22,5,1981,6,30.71683897,21.5,16.00218087
23,5,1981,0,31.8712881,21,17.97063554
24,5,1981,0,32.00367087,21.5,16.32673603
25,5,1981,5.6,30.55348335,22,13.79094256
26,5,1981,30.9,29.88195172,20.5,16.52562609
27,5,1981,20,31.86317883,21.5,15.85150518
28,5,1981,8.2,32.7111964,20,14.77747599
29,5,1981,0,28.10880168,21,13.25329833
30,5,1981,104.2,29.20215496,21.5,14.99464269
31,5,1981,3.8,29.39260329,21,14.75119414
1,6,1981,0,31.55176332,21,17.617872
2,6,1981,0,30.26848956,20.5,16.76899677
3,6,1981,0,31.67663742,21.5,15.91813919
4,6,1981,0,28.87880768,20,16.11144076
5,6,1981,0,30.26564026,21.5,16.23911453
6,6,1981,1.2,28.74702746,22.5,15.83164068
7,6,1981,2,29.3075158,22,12.97638914
8,6,1981,20.8,30.34204836,20.94204836,14.36570838
9,6,1981,0,31.12099915,20,17.22818459
10,6,1981,70.2,29.97951804,21,15.70382894
11,6,1981,0,27.95627404,21,12.67228532
12,6,1981,7,31.25668832,20,16.28978693
