day,month,year,precip,tmax,tmin,srad
28,5,1981,0.4,32.9,22.4,20.65427654
29,5,1981,0.6,30,22.5,9.803818392
30,5,1981,114.1,31.4,23,15.9807802
31,5,1981,0.2,31.2,23,11.79808093
1,6,1981,0,30.2,23.3,11.01818051
2,6,1981,29.8,30.8,24,11.7815488
3,6,1981,7.5,31.5,21.6,17.01062613
4,6,1981,0,32.7,23,22.3850777
5,6,1981,0,33.6,23.5,24.06070778
6,6,1981,0.4,32.8,23.7,14.05651323
7,6,1981,8.3,31,24.6,12.20555205
8,6,1981,1.4,29.2,22,11.61139994
9,6,1981,0,32,23,11.4256936
10,6,1981,0.1,30.6,23.4,13.25895044
11,6,1981,5.7,32.2,23,19.22539553
12,6,1981,11.3,31.8,23,11.56290506
13,6,1981,0,31.4,22.8,9.56935526
14,6,1981,0,32.8,22.5,15.22384045
15,6,1981,4.3,34.4,23.5,23.77798648
16,6,1981,0.3,30.2,23.2,12.15733538
17,6,1981,8.2,30.6,22.4,11.3901143
18,6,1981,1.6,32.2,23,10.62373353
19,6,1981,0,32.6,22.8,17.3383061
20,6,1981,0,33.8,24.7,20.23473068
21,6,1981,0,33.7,23.4,20.84180308
22,6,1981,19.3,32,24.2,14.58336862
23,6,1981,1.5,29.8,22,11.07294979
24,6,1981,16.5,32,22.6,14.12343809
25,6,1981,0.3,29.8,20.8,10.46157895
26,6,1981,0,32.6,22.2,22.20929455
27,6,1981,15.7,34,20,18.70118884
28,6,1981,10.8,32.2,24,18.39762139
29,6,1981,0.4,30.2,23.5,11.83683075
30,6,1981,0,28,24,9.548378886
1,7,1981,0,33.4,22,21.00216235
2,7,1981,0,34.6,22.4,23.60374525
3,7,1981,2.9,34,23.4,19.79030875
4,7,1981,0.6,31.8,23.25,13.52912842
5,7,1981,1.9,32.4,23.3,10.6275915
6,7,1981,3.2,32.5,24.31,21.64568804
7,7,1981,0,34,24.08,22.41966869
8,7,1981,0.8,33.6,23.7,18.44768239
9,7,1981,1.5,32.8,24.2,15.85096269
10,7,1981,0.2,31.8,23.5,13.86493871
11,7,1981,52.5,31.2,24.33,17.70670196
12,7,1981,12,32.8,23.25,20.3257392
13,7,1981,0.4,31.5,23.41,21.41259006
14,7,1981,6.3,33.8,23.6,21.11787111
15,7,1981,2.2,32,22.7,16.82299599
16,7,1981,1.1,30.2,23.2,12.67583477
17,7,1981,0.1,29.8,23.95,11.29607939
18,7,1981,12.1,33,24.24,17.00874654
19,7,1981,0,33.8,24.64,23.04013173
20,7,1981,30.6,33.8,24.97,16.99113894
21,7,1981,0,32.4,24.13,23.84753201
22,7,1981,0,32.6,23.2,24.48505985
23,7,1981,14.4,33.4,22,23.72977646
24,7,1981,0,33.6,21.4,19.56166959
25,7,1981,0,34.4,24.61,26.40684601
26,7,1981,0,35.2,24.09,23.94286452
27,7,1981,3.2,34.8,24.8,23.49614609
28,7,1981,30.4,34.6,25.4,25.07272678
29,7,1981,0,34,21.5,21.35355839
30,7,1981,0,34.6,21.5,22.15128721
31,7,1981,13.8,34.8,22.7,24.98104851
1,8,1981,0,35.4,22.4,19.63047612
2,8,1981,24.1,34,23.5,22.20696771
3,8,1981,0,31.8,22.1,19.09208943
4,8,1981,0,33.8,22.1,18.63678657
5,8,1981,0,34.6,24.5,23.36145946
6,8,1981,0,32.8,23,16.77992291
7,8,1981,1.3,32.8,20,11.44308871
8,8,1981,0,32.4,23.5,15.70209039
9,8,1981,1,31.8,24,15.08237157
